What is the limit definition of the derivative $f'(x_0)$?,$f'(x_0) = \lim_{h \to 0} \frac{f(x_0 + h) - f(x_0)}{h}$
Under what condition is the difference quotient $\frac{f(x_0 + h) - f(x_0)}{h}$ considered a good approximation of $f'(x_0)$?,When the absolute value of the step size $|h|$ is small.
"In the context of numerical differentiation, what does 'Lagrange's method' involve?",Approximating a function $f$ with a Lagrange polynomial $L_n(x)$ and using $L'_n(x_0)$ as the derivative estimate.
What is the formula for the first-order forward difference approximation of $f'(x_0)$?,$f'(x_0) \approx \frac{f(x_0 + h) - f(x_0)}{h}$ where $h > 0$.
What is the formula for the first-order backward difference approximation of $f'(x_0)$?,$f'(x_0) \approx \frac{f(x_0 + h) - f(x_0)}{h}$ where $h < 0$.
The first-order difference formula is also known as the \_\_\_\_\_-point formula.,two
What is the specific form of the truncation error for the first-order difference approximation of $f'(x_0)$?,"$-\frac{h}{2}f''(\xi)$ where $\xi \in \langle x_0, x_0 + h \rangle$."
"Using Taylor's method, what order of Taylor expansion is required to derive the first-order difference formula for $f'(x_0)$?",First-order Taylor expansion.
How does the error of a first-order difference formula change if the step size $h$ decreases by one order of magnitude?,The error also decreases by one order of magnitude.
What general formula is used to derive an $(n+1)$-point difference formula using Lagrange basis polynomials $l_j(x)$?,$f'(x_i) \approx \sum_{j=0}^{n} f(x_j)l'_j(x_i)$
"For an $(n+1)$-point difference formula with equidistant points, what is the order of the error term in terms of $h$?",$n$th-order ($O(h^n)$).
What are the three mesh points used in the standard three-point difference formulas?,"$x_0$, $x_0 + h$, and $x_0 + 2h$."
What is the three-point endpoint formula for $f'(x_0)$?,$\frac{1}{h}(-\frac{3}{2}f(x_0) + 2f(x_0 + h) - \frac{1}{2}f(x_0 + 2h))$
What is the order of the truncation error for the three-point endpoint formula?,Second-order ($O(h^2)$).
The three-point midpoint formula is also commonly called the second-order \_\_\_\_\_ difference formula.,central
What is the formula for the three-point midpoint (central difference) approximation of $f'(x_0)$?,$f'(x_0) \approx \frac{f(x_0 + h) - f(x_0 - h)}{2h}$
What is the truncation error term for the second-order central difference formula?,$-\frac{h^2}{6}f'''(\xi)$
"Between a one-sided second-order formula and a central second-order formula, which generally yields a smaller error for the same $h$?",The central difference formula.
"Which formula uses the points $x_0 - 2h, x_0 - h, x_0 + h, x_0 + 2h$ to approximate $f'(x_0)$?",The five-point central difference (fourth-order) formula.
What is the order of accuracy for the five-point central difference formula (7.11)?,Fourth-order ($O(h^4)$).
What is the truncation error term for the fourth-order central difference formula?,$\frac{h^4}{30}f^{(5)}(\xi)$
Which method is described as more convenient than Lagrange's method for deriving approximations of higher-order derivatives?,Taylor's method.
What is the standard second-order central difference formula for the second derivative $f''(x_0)$?,$f''(x_0) \approx \frac{f(x_0 - h) - 2f(x_0) + f(x_0 + h)}{h^2}$
What is the truncation error associated with the central difference formula for the second derivative $f''(x_0)$?,$-\frac{h^2}{12}f^{(4)}(\xi)$
Numerical differentiation is described as an \_\_\_\_\_ problem because small perturbations in function values can cause large errors in the derivative.,unstable
"In the error analysis $f'(x_0) - \frac{f_1 - f_0}{h} = -\frac{h}{2}f''(\xi) + \frac{e_1 - e_0}{h}$, what does the term $\frac{e_1 - e_0}{h}$ represent?",The rounding error.
"As the step size $h$ approaches zero, what happens to the rounding error in numerical differentiation?",It tends toward infinity (or increases significantly).
How do truncation error and rounding error behave differently as step size $h$ decreases?,"Truncation error decreases, while rounding error increases."
