What is the primary objective of the bisection method in numerical analysis?,To approximate the solution of a scalar nonlinear algebraic equation $f(x) = 0$.
"Which two properties must a function $f$ satisfy on the interval $[a,b]$ for the bisection method to be guaranteed to work?","The function must be continuous on $[a,b]$ and have opposite signs at the endpoints ($f(a)f(b) < 0$)."
"The \_\_\_\_\_ Theorem states that if $f \in C[a,b]$, $f(a) \neq f(b)$, and $d \in \langle f(a), f(b) \rangle$, then there exists a $c \in (a,b)$ such that $f(c) = d$.",Intermediate Value (or Bolzano–Darboux)
"In the notation $\langle \alpha, \beta \rangle$, what does the interval represent?","The open interval $(\min\{\alpha, \beta\}, \max\{\alpha, \beta\})$."
"Formula: Midpoint $p_0$ of the initial interval $[a_0, b_0]$ in the bisection method.",$p_0 = \frac{a_0 + b_0}{2}$
"If the function $f$ changes sign on the interval $[a_0, p_0]$, how is the next interval $[a_1, b_1]$ defined?","$[a_1, b_1] = [a_0, p_0]$ (the left half of the current interval)."
"If $f$ does not change sign on $[a_0, p_0]$, but does so on $[p_0, b_0]$, how is the next interval $[a_1, b_1]$ defined?","$[a_1, b_1] = [p_0, b_0]$ (the right half of the current interval)."
What is the result of the bisection method iteration if $f(p_k) = 0$ for some midpoint $p_k$?,"The midpoint $p_k$ is the exact root of the function $f$, and the procedure stops."
"Formula: The length of the $k$-th interval $[a_k, b_k]$ in the bisection method.",$b_k - a_k = \frac{b - a}{2^k}$
Which theorem ensures that the sequence of nested closed intervals in the bisection method converges to a unique common point $p$?,Cantor's nested intervals theorem.
"In the limit as $k \to \infty$, what values do the sequences of endpoints $a_k$ and $b_k$ converge to?",They both converge to the root $p$.
"Why must $f(p) = 0$ if $f(a_k) < 0$ and $f(b_k) > 0$ for all $k$ as $a_k, b_k \to p$?","The continuity of $f$ implies $f(p) \leq 0$ and $f(p) \geq 0$, which forces $f(p) = 0$."
Formula: The upper bound for the error $|p_k - p|$ in the bisection method after $k$ steps.,$|p_k - p| \leq \frac{b - a}{2^{k+1}}$
Formula: The minimum number of iterations $k$ required to reach a tolerance $\varepsilon$.,$k \geq \log_2 \frac{b - a}{\varepsilon} - 1$
"In the bisection method error estimation, what does $\varepsilon$ represent?",The predefined tolerance or maximum allowable error bound.
"Example: For the function $f(x) = e^x - 2\cos x$ on $[0,1]$, why is there exactly one root?",Because the function is strictly monotone increasing on that interval.
"Example: For $f(x) = e^x - 2\cos x$ on $[0,1]$ with $\varepsilon = 10^{-5}$, approximately how many steps are calculated as necessary?",Approximately 16 steps ($k \geq 15.61$).
"What happens when the bisection method is applied to $f(x) = 1/x$ on $[-0.5, 3]$?",The method fails to find a root because the function is not continuous on the interval (specifically at $x=0$).
