"In $n$ dimensions, what equation defines a vector $\mathbf{p}$ as a fixed point of the function $\mathbf{g}$?",$\mathbf{p} = \mathbf{g}(\mathbf{p})$
What is the recursive formula for the fixed-point iteration to approximate a solution to $\mathbf{x} = \mathbf{g}(\mathbf{x})$?,$\mathbf{p}^{(k+1)} = \mathbf{g}(\mathbf{p}^{(k)})$
A function $\mathbf{g}\colon E \to \mathbb{R}^n$ is a contraction on $E$ if there exists a constant $c$ such that $0 \leq c < 1$ and \_\_\_\_\_.,"$\|\mathbf{g}(\mathbf{x}) - \mathbf{g}(\mathbf{y})\| \leq c\|\mathbf{x} - \mathbf{y}\|$ for all $\mathbf{x}, \mathbf{y} \in E$"
What type of set must $E \subset \mathbb{R}^n$ be for the global fixed-point theorem to guarantee convergence of $\mathbf{p}^{(k+1)} = \mathbf{g}(\mathbf{p}^{(k)})$?,A closed set.
"To apply the fixed-point theorem on a set $E$, the function $\mathbf{g}$ must map $E$ to \_\_\_\_\_.",The set $E$ itself ($\mathbf{g}\colon E \to E$).
"According to the fixed-point theorem, if $\mathbf{g}$ is a contraction on a closed set $E$ and $\mathbf{g}\colon E \to E$, how many fixed points does $\mathbf{g}$ have in $E$?",Exactly one (a unique fixed point).
What is the minimum order of convergence guaranteed by the general contraction mapping theorem for fixed-point iteration?,Linear convergence.
"In the proof of the fixed-point theorem, what sequence property is used to demonstrate that the iterates $\mathbf{p}^{(k)}$ converge to a limit?",The iterates form a Cauchy sequence.
How is the constant $c$ in the contraction definition related to the Lipschitz property?,$c$ is the Lipschitz constant of the function $\mathbf{g}$ on $E$.
Which mathematical identity is used to bound the distance $\|\mathbf{p}^{(k)} - \mathbf{p}^{(m)}\|$ in the fixed-point theorem proof?,The triangle inequality.
"In the proof of convergence, what formula represents the upper bound of the sum of the norms of differences using the contraction constant $c$ and the first step $\|\mathbf{p}^{(1)} - \mathbf{p}^{(0)}\|$?",$c^m \sum_{i=0}^\infty c^i \|\mathbf{p}^{(1)} - \mathbf{p}^{(0)}\|$
What property of $\mathbf{g}$ is invoked to show that $\mathbf{g}(\mathbf{p}^{(k)}) \to \mathbf{g}(\mathbf{p})$ as $\mathbf{p}^{(k)} \to \mathbf{p}$?,The continuity of the function $\mathbf{g}$.
How is the uniqueness of the fixed point $\mathbf{p}$ proven using the contraction property?,"By showing $\|\mathbf{p} - \bar{\mathbf{p}}\| \leq c\|\mathbf{p} - \bar{\mathbf{p}}\|$, which implies the distance must be zero since $c < 1$."
"For local convergence at a fixed point $\mathbf{p}$, what condition must the matrix norm of the Jacobian $\mathbf{g}'(\mathbf{p})$ satisfy?",$\|\mathbf{g}'(\mathbf{p})\| < 1$
"When checking for local convergence, what type of norm must be used for the Jacobian matrix $\mathbf{g}'(\mathbf{p})$?",A matrix norm generated by a vector norm.
"To guarantee local convergence via the Jacobian matrix norm condition, what differentiability class must $\mathbf{g}$ belong to on an open set $E$?",$C^1$ (continuously differentiable).
Which theorem is used in the local convergence proof to link the function values to the Jacobian matrix?,Lagrange's Mean Value Theorem.
"In the local convergence proof, how is the neighborhood $V$ defined around the fixed point $\mathbf{p}$?",$V = \{\mathbf{x}\colon \|\mathbf{x} - \mathbf{p}\| \leq \delta\}$ where $\|\mathbf{g}'(\mathbf{x})\| \leq c < 1$.
"If $\mathbf{g}(x_1, x_2) = \begin{pmatrix} g_1(x_1, x_2) \\ g_2(x_1, x_2) \end{pmatrix}$, what is the entry in the first row and second column of the Jacobian matrix $\mathbf{g}'(\mathbf{x})$?",$\frac{\partial g_1}{\partial x_2}$
Term: Jacobian Matrix,Definition: A matrix of all first-order partial derivatives of a vector-valued function.
"In the provided example, $\mathbf{g}'(1, 0) = \begin{pmatrix} 0 & \frac{1}{4} \\ \frac{1}{3} & 0 \end{pmatrix}$. What is the 1-norm ($\|\cdot\|_1$) of this matrix?",$\frac{1}{3}$
"Based on $\|\mathbf{g}'(1, 0)\|_1 = \frac{1}{3}$, what can be concluded about the fixed-point iteration near $(1, 0)^T$?",It is locally convergent.
What specific condition on the Jacobian matrix $\mathbf{g}'(\mathbf{p})$ leads to quadratic local convergence?,$\mathbf{g}'(\mathbf{p}) = \mathbf{0}$ (the zero matrix).
"To achieve quadratic convergence, what is the required differentiability class for function $\mathbf{g}$?",$C^2$ (twice continuously differentiable).
Which expansion technique is used to prove the quadratic convergence of fixed-point iteration when $\mathbf{g}'(\mathbf{p}) = \mathbf{0}$?,Second-order Taylor approximation.
The error bound for quadratic convergence is given by $\|\mathbf{p}^{(k+1)} - \mathbf{p}\|_\infty \leq c \|\mathbf{p}^{(k)} - \mathbf{p}\|_\infty^2$. What is the constant $c$ proportional to in the proof?,"$\frac{n^2}{2} M$, where $M$ is a bound on the second partial derivatives."
"True or False: If $\mathbf{g}'(\mathbf{p}) = \mathbf{0}$, the fixed-point iteration is guaranteed to converge for any initial value in $\mathbb{R}^n$.",False; it only guarantees local convergence within some distance $\delta$.
How is the Jacobian entry $\frac{\partial}{\partial x_1} [\frac{1}{4}(e^{x_1 x_2} + 3)]$ calculated?,"Using the chain rule, it is $\frac{1}{4} x_2 e^{x_1 x_2}$."
How is the Jacobian entry $\frac{\partial}{\partial x_2} [\frac{1}{3}(x_1 - x_2^2 - 1)]$ calculated?,"The derivative of the constant $x_1-1$ is 0, and the derivative of $-x_2^2$ is $-2x_2$, resulting in $-\frac{2}{3}x_2$."
"If the Jacobian matrix at the fixed point is $\mathbf{0}$, what term in the Taylor expansion of $g_i$ around $\mathbf{p}$ becomes zero besides $g_i(\mathbf{p}) - p_i$?",The summation containing the first-order partial derivatives: $\sum_{j=1}^n \frac{\partial g_i(\mathbf{p})}{\partial x_j}(x_j - p_j)$.
What is the relationship between the order of convergence and the number of derivatives of $\mathbf{g}$ that vanish at the fixed point?,"If the first derivative vanishes ($\mathbf{g}'(\mathbf{p}) = \mathbf{0}$), the order is at least quadratic ($2^{nd}$ order)."
"In the example provided, what were the exact solutions $(x_1, x_2)$ for the system $4x_1 - e^{x_1 x_2} - 3 = 0$ and $x_1 - x_2^2 - 3x_2 - 1 = 0$?",$x_1 = 1$ and $x_2 = 0$.
"For the system $\mathbf{x} = \mathbf{g}(\mathbf{x})$, the sequence $\mathbf{p}^{(k)}$ converges to $\mathbf{p}$ if $\mathbf{g}$ is a contraction. What does $c$ represent in the error estimate $\|\mathbf{p}^{(k+1)} - \mathbf{p}\| \leq c \|\mathbf{p}^{(k)} - \mathbf{p}\|$?",The asymptotic error constant (or contraction factor).
"If a fixed-point iteration converges quadratically, how does the number of correct digits roughly change with each iteration?",The number of correct digits approximately doubles.
Why is the assumption that $E$ is an open set necessary for the local convergence theorem involving the Jacobian?,To ensure that a neighborhood (ball) around the fixed point exists entirely within the domain $E$.
"In the context of the Taylor expansion proof, what does the symbol $\xi$ represent?",A point on the line segment between $\mathbf{x}$ and $\mathbf{p}$ where the derivative is evaluated.
"Cloze: The fixed-point theorem ensures that for a contraction mapping on a closed set, the iteration converges for \_\_\_\_\_ initial value $\mathbf{p}^{(0)} \in E$.",any
Concept: Local Quadratic Convergence,"Condition: $\mathbf{g}(\mathbf{p}) = \mathbf{p}$, $\mathbf{g}'(\mathbf{p}) = \mathbf{0}$, and $\mathbf{g} \in C^2$."
Formula: $\|\mathbf{A}\|_1$ (for a matrix $\mathbf{A}$),The maximum absolute column sum of the matrix.
"What is the result of $\|\mathbf{g}'(1,0)\|_\infty$ for $\mathbf{g}'(1,0) = \begin{pmatrix} 0 & 1/4 \\ 1/3 & 0 \end{pmatrix}$?",$1/3$
"If $\|\mathbf{g}'(\mathbf{p})\| = 0.5$, what is the asymptotic rate of convergence for the fixed-point iteration?",Linear convergence with a rate of $0.5$.
"In $n$ dimensions, if $\mathbf{g}'(\mathbf{p})$ is the zero matrix, the iteration is locally \_\_\_\_\_ convergent.",quadratically (or second-order)
How is the term $p_i^{(k+1)} - p_i$ expressed in the quadratic convergence proof using second derivatives?,$p_i^{(k+1)} - p_i = \frac{1}{2} \sum_{j=1}^n \sum_{l=1}^n \frac{\partial^2 g_i(\xi)}{\partial x_j \partial x_l} (p_j^{(k)} - p_j)(p_l^{(k)} - p_l)$
The fixed-point iteration $\mathbf{p}^{(k+1)} = \mathbf{g}(\mathbf{p}^{(k)})$ is essentially a functional iteration in \_\_\_\_\_.,Multidimensional space (or $\mathbb{R}^n$).
Why is the condition $c < 1$ critical for a contraction?,It ensures that the distance between points strictly decreases after applying the function.
What happens to the fixed-point iteration if $\|\mathbf{g}'(\mathbf{p})\| > 1$?,The iteration will generally diverge from the fixed point $\mathbf{p}$.
Which component of the error vector $\mathbf{p}^{(k)} - \mathbf{p}$ determines the $\|\cdot\|_\infty$ norm?,The component with the largest absolute value.
"In the example iteration table, starting from $(-2, -2)^T$, which iteration $k$ first shows $p_1^{(k)}$ and $p_2^{(k)}$ both within $0.1$ of the solution $(1, 0)^T$?","$k = 7$ ($p_1 \approx 0.949$, $p_2 \approx -0.061$)."
"In the system $x_1 = g_1(x_1, x_2)$, if $g_1$ is a constant, what is the value of $\frac{\partial g_1}{\partial x_1}$?",0
"Cloze: If a function $\mathbf{g}$ satisfies the conditions for the fixed-point theorem, the error $\|\mathbf{p}^{(k)} - \mathbf{p}\|$ is bounded by a \_\_\_\_\_ series.",geometric
How many iterations did the example take to reach a precision where $p_2$ is approximately $-0.0001$?,12 iterations.
What is the Jacobian matrix of $\mathbf{g}(\mathbf{x}) = \mathbf{A}\mathbf{x} + \mathbf{b}$?,The matrix $\mathbf{A}$.
"In the case of a linear system $\mathbf{x} = \mathbf{A}\mathbf{x} + \mathbf{b}$, what is the condition for global convergence of the fixed-point iteration?",The matrix norm $\|\mathbf{A}\|$ must be less than 1.
What does $C^1$ notation imply about the partial derivatives of a function?,They all exist and are continuous functions.
"If the fixed-point iteration converges such that the error $\|e_{k+1}\| \approx C \|e_k\|^2$, what is the order of convergence?",Second-order (Quadratic).
Under what circumstance does the fixed-point theorem guarantee that the unique fixed point is actually reached in a finite number of steps?,Only if the starting point $\mathbf{p}^{(0)}$ is already the fixed point or $\mathbf{g}$ is a constant map.
What is the 'Lipschitz constant' in the context of the contraction mapping theorem?,"The constant $c \in [0, 1)$ that bounds the ratio of distances between images and arguments."
"True or False: The choice of norm $(\|\cdot\|_1, \|\cdot\|_2, \|\cdot\|_\infty)$ can determine whether a mapping is considered a contraction.",True; a function may be a contraction in one norm but not in another.
"What is the Jacobian of the specific function $g_2(x_1, x_2) = \frac{1}{3}(x_1 - x_2^2 - 1)$ evaluated at $(1, 0)$?","$(\frac{1}{3}, 0)$"
Why is the fixed-point iteration useful for nonlinear systems of equations?,It provides a simple numerical procedure to approximate solutions without requiring complex matrix inversions in every step.
