"In a base-$b$ number system with $m$ digits, what is the formula for the numerical value of an integer $I = (a_{m-1}a_{m-2}...a_1 a_0)_b$?",$I = a_{m-1}b^{m-1} + a_{m-2}b^{m-2} + \cdots + a_1 b + a_0$
What is the numerical value of the largest integer $I_{\max}$ that can be represented with $m$ digits in base $b$?,$I_{\max} = b^m - 1$
How many different integers can be represented using $m$ digits in a base-$b$ system?,$b^m$ different integers
"In binary sign-magnitude representation, what value is stored in the sign bit for a negative integer?",1
"In an $m$-bit sign-magnitude system, how many bits are used to store the magnitude of the number?",$m - 1$ bits
What are the largest ($I_{\max}$) and smallest ($I_{\min}$) representable integers in an $m$-bit sign-magnitude system?,$I_{\max} = 2^{m-1} - 1$ and $I_{\min} = -(2^{m-1} - 1)$
How is the integer 0 represented in a sign-magnitude binary system?,It can be stored as an identically 0 bit sequence or as $100...0$ (negative zero).
"In $m$-bit two's-complement representation, how is the stored value $C$ defined for a non-negative integer $0 \le I \le 2^{m-1} - 1$?",$C = I$
"In $m$-bit two's-complement representation, what is the definition of $C$ for a negative integer $-2^{m-1} \le I < 0$?",$C = 2^m + I$
"What is the range of representable integers $[I_{\min}, I_{\max}]$ in an $m$-bit two's-complement system?","$[-2^{m-1}, 2^{m-1} - 1]$"
"In two's-complement representation, what does a first bit of 1 indicate about the integer $I$?",The integer $I$ is negative.
What is the primary computational advantage of using two's-complement representation for signed integers?,Subtraction can be performed as addition.
Process: Convert a negative integer to two's-complement manually.,"Take the binary form of the absolute value, flip all bits (0 to 1, 1 to 0), and add 1."
What is the numerical value of a real number $x$ represented in base $b$ as $(x_{m-1}x_{m-2}...x_0.x_{-1}x_{-2}...)_b$?,$x = \sum_{i=-\infty}^{m-1} x_i b^i$
Define the normal form of a non-zero real number $x$ in base $b$.,"$x = \pm m \cdot b^k$, where $1 \le m < b$."
"In the floating point normal form $x = \pm m \cdot b^k$, what are the terms $m$ and $k$ called?",$m$ is the mantissa and $k$ is the exponent.
What base system is used by computers to represent floating point numbers according to the IEEE 754 specification?,The binary number system (base 2).
"In IEEE 754 single precision (32-bit), which bit stores the sign $s$?",The 1st bit (most significant bit).
How is the exponent $k$ stored in IEEE 754 single precision (32-bit)?,As a shifted value $e = k + 127$ stored on bits 2–9.
Why is the leading digit of the mantissa (the 1 in $1.m_1 m_2...$) not stored in IEEE binary representation?,"In normal form it is always 1, so it is omitted (hidden bit) to save storage space."
How many bits are used for the fractional part of the mantissa in IEEE 754 single precision?,23 bits (stored on bits 10–32).
"In the IEEE 754 32-bit standard, what does a stored exponent $e = 0$ and all mantissa bits = 0 represent?",The value 0 (can be +0 or -0 depending on the sign bit).
"In the IEEE 754 32-bit standard, what is the representation for $+\mathtt{Inf}$?","$s = 0$, $e = 255$ (all 1s), and at least one mantissa bit is 0."
What do the IEEE 754 symbols $+\mathtt{NaN}$ and $-\mathtt{NaN}$ signify?,"Not-a-Number, resulting from undefined operations like division by zero or roots of negative numbers."
What range of values for $e$ is reserved for finite real numbers in IEEE 754 single precision?,$0 \le e \le 254$
"In IEEE 754 single precision, what are the possible values for the actual exponent $k$?",$-127 \le k \le 127$
What is the approximate value of the smallest positive representable number ($x_{\min}$) in single precision?,$10^{-38}$
What is the approximate value of the largest finite representable number ($x_{\max}$) in single precision?,$10^{38}$
"In IEEE 754 double precision (64-bit), how is the shifted exponent $e$ calculated?",$e = k + 1023$
Which bits are used to store the shifted exponent in IEEE 754 double precision?,Bits 2–12 (11 bits total).
How many bits are used for the fractional part of the mantissa in IEEE 754 double precision?,52 bits (stored on bits 13–64).
What is the approximate range of positive real numbers representable in double precision?,$10^{-308}$ to $10^{308}$
Term: Machine numbers,Definition: The set of real numbers that can be stored in a specific computer representation without error.
The machine representation of a real number $x$ is denoted by the symbol \_\_\_\_\_.,$fl(x)$
Condition: $|x| < x_{\min}$. What is the result in floating point arithmetic?,"Arithmetic underflow, resulting in $fl(x) = 0$."
Condition: $x > x_{\max}$. What is the result in floating point arithmetic?,"Arithmetic overflow, resulting in $fl(x) = \mathtt{Inf}$."
Concept: Chopping,Definition: A method of defining $fl(x)$ where the mantissa fractional bits are truncated to fit the storage limit.
Concept: Rounding,Definition: Defining $fl(x)$ as the machine number nearest to the real value $x$.
"In IEEE rounding, how is $fl(x)$ determined if $x$ is exactly halfway between two consecutive machine numbers $x'$ and $x''$?",It rounds to the machine number whose last mantissa bit ($m_{23}$) is 0.
Why does the IEEE standard round to the nearest machine number with a last mantissa bit of 0 in tie-break cases?,It ensures unbiased rounding (up/down half the time) and allows division by 2 without error.
What is the maximum absolute error $|x - fl(x)|$ when using IEEE single precision rounding?,$\frac{1}{2} 2^{-23} 2^k$
Define 'machine epsilon' ($\varepsilon_m$).,The difference between the number 1 and the first machine number greater than 1.
How is machine epsilon ($\varepsilon_m$) used to evaluate computer comparisons involving the number 1?,It is the smallest power of 2 for which the computer evaluates $1 + \varepsilon_m > 1$ as true.
"According to Theorem 1.9, what is the bound for the relative error $|x - fl(x)|/|x|$ using rounding?",$\frac{1}{2}\varepsilon_m$
"Theorem 1.10: For a base-2 system with $t$ bits for the mantissa fractional part, what is $\varepsilon_m$?",$2^{-t}$
"Theorem 1.10: For a base $b \ne 2$ with $t$ mantissa digits, what is the formula for $\varepsilon_m$?",$b^{1-t}$
Formula: Absolute Error of an approximation $\tilde{x}$ to $x$.,$|x - \tilde{x}|$
Formula: Relative Error of an approximation $\tilde{x}$ to $x$.,$\frac{|x - \tilde{x}|}{|x|}$ (where $x \ne 0$).
What is the condition for an approximation $\tilde{x}$ to be considered 'exact in $n$ digits' in base $b$?,$\frac{|x - \tilde{x}|}{|x|} \le \frac{1}{2}b^{1-n}$
"In the decimal system ($b = 10$), how does a factor of 1/10 reduction in relative error affect the number of exact digits?",The number of exact digits increases by 1.
How many exact decimal digits are guaranteed in single precision floating point arithmetic?,7 digits.
Process: Find the binary fractional part of a decimal $x$.,"Repeatedly multiply the fractional part by 2; the integer part of each result provides the binary digits ($x_1, x_2, ...$)."
What is the decimal value of the binary number $(101101)_2$?,45
