A sequence $p_k$ converges to $p$ with order $\alpha$ if there exists a constant $c \ge 0$ such that $|p_{k+1} - p| \le c |p_k - p|^\alpha$. What is the required range for $\alpha$?,$\alpha \ge 1$
"In the definition of order of convergence, what additional constraint is placed on the constant $c$ if the order $\alpha$ is exactly 1?",$c < 1$
"If a sequence satisfies $|p_{k+1} - p| \le c |p_k - p|^\alpha$ for a specific $\alpha$, but not for any larger exponent, the order of convergence is said to be \_\_\_\_\_.",exactly $\alpha$
Terminology: What is the specific name for convergence where the order $\alpha = 1$?,Linear convergence
Terminology: What is the specific name for convergence where the order $\alpha = 2$?,Quadratic convergence
A sequence $p_k$ is said to converge linearly if it satisfies $|p_k - p| \le c^k |p_0 - p|$ for a constant $c$ in what range?,$0 \le c < 1$
Formula: Define the asymptotic error constant $\lambda$ for a sequence $p_k$ converging to $p$ with order $\alpha$.,$\lambda = \lim_{k \to \infty} \frac{p_{k+1} - p}{(p_k - p)^\alpha}$
A sequence converges \_\_\_\_\_ if it has linear convergence ($\alpha = 1$) and its asymptotic error constant $\lambda$ is 0.,superlinearly
"If a sequence $p_k$ converges with order $\alpha$ and asymptotic error constant $\lambda \ne 0$, what is the limit of $\frac{|p_{k+1} - p|}{|p_k - p|^\beta}$ for all $\beta < \alpha$?",0
"If a sequence $p_k$ converges with order $\alpha$ and asymptotic error constant $\lambda \ne 0$, what is the limit of $\frac{|p_{k+1} - p|}{|p_k - p|^\beta}$ for all $\beta > \alpha$?",$\infty$
"For a sequence with convergence order $\alpha > 1$, local convergence to $p$ is guaranteed if the initial term $p_0$ satisfies what condition involving $c$?",$c^{\frac{1}{\alpha-1}}|p_0 - p| < 1$
"In a fixed-point iteration $p_{k+1} = g(p_k)$, what condition on the derivative $g'(p)$ at the fixed point $p$ ensures local linear convergence?",$|g'(p)| < 1$
"In a fixed-point iteration $p_{k+1} = g(p_k)$, if $g'(p) = g''(p) = \dots = g^{(m-1)}(p) = 0$, what is the order of convergence?",$m$
