"In Quasi-Newton methods, the function $f$ is approximated near $\mathbf{p}^{(k)}$ by what type of function?",A quadratic function $g(\mathbf{x})$.
Formula: Quadratic approximation $g(\mathbf{x})$ used in Quasi-Newton methods,$g(\mathbf{x}) := f(\mathbf{p}^{(k)}) + (\mathbf{v}^{(k)})^T (\mathbf{x} - \mathbf{p}^{(k)}) + \frac{1}{2}(\mathbf{x} - \mathbf{p}^{(k)})^T \mathbf{A}^{(k)}(\mathbf{x} - \mathbf{p}^{(k)})$
"In the quadratic approximation for Quasi-Newton methods, what do $\mathbf{v}^{(k)}$ and $\mathbf{A}^{(k)}$ typically represent?",Approximations of the gradient $f'(\mathbf{p}^{(k)})$ and the Hessian $f''(\mathbf{p}^{(k)})$.
"If $\mathbf{A}^{(k)}$ is positive definite, what is the formula for the minimum point $\mathbf{p}^{(k+1)}$ of the quadratic approximation $g(\mathbf{x})$?",$\mathbf{p}^{(k+1)} = \mathbf{p}^{(k)} - (\mathbf{A}^{(k)})^{-1} \mathbf{v}^{(k)}$
What is the order of magnitude for function evaluations required per iteration when using numerical difference approximations for both the gradient and Hessian?,$n^2$ function evaluations.
Formula: First-order forward difference approximation for the $i$-th component of the gradient $v_i^{(k)}$,$v_i^{(k)} = \frac{1}{h}(f(\mathbf{p}^{(k)} + h\mathbf{e}^{(i)}) - f(\mathbf{p}^{(k)}))$
The standard Quasi-Newton method for minimization assumes the exact value of which vector is available?,The gradient vector $f'(\mathbf{p}^{(k)})$.
"In Quasi-Newton iterations, how is the step vector $\mathbf{s}^{(k)}$ defined relative to the current point $\mathbf{p}^{(k)}$?",$\mathbf{s}^{(k)} = \mathbf{p}^{(k+1)} - \mathbf{p}^{(k)}$
Formula: Definition of the gradient change vector $\mathbf{y}^{(k)}$,$\mathbf{y}^{(k)} = f'(\mathbf{p}^{(k+1)}) - f'(\mathbf{p}^{(k)})$
What equation must the updated Hessian approximation $\mathbf{A}^{(k+1)}$ satisfy to be consistent with the gradient change?,The secant equation: $\mathbf{A}^{(k+1)}\mathbf{s}^{(k)} = \mathbf{y}^{(k)}$.
Formula: Broyden's method update for the matrix $\mathbf{A}^{(k+1)}$,$\mathbf{A}^{(k+1)} = \mathbf{A}^{(k)} + \frac{(\mathbf{y}^{(k)} - \mathbf{A}^{(k)}\mathbf{s}^{(k)})(\mathbf{s}^{(k)})^T}{\|\mathbf{s}^{(k)}\|_2^2}$
