"According to Taylor's Theorem, what continuity condition must $f$ satisfy on $[a,b]$ for an $n$-th order expansion?","The function must be $n+1$ times continuously differentiable, denoted as $f \in C^{n+1}[a,b]$."
"In Taylor's Theorem, where is the point $\xi$ located relative to $x$ and $x_0$?","It is located in the open interval $(\min\{x, x_0\}, \max\{x, x_0\})$."
What is the mathematical form of the error term (remainder) in Taylor's Theorem?,The error term is $\frac{f^{(n+1)}(\xi)}{(n+1)!}(x-x_0)^{n+1}$.
Write the first three terms of the Taylor polynomial $T_n(x)$ centered at $x_0$.,$T_n(x) = f(x_0) + f'(x_0)(x-x_0) + \frac{f''(x_0)}{2}(x-x_0)^2 + \dots$
What is the primary objective when using Newton's method?,To find a solution to the scalar equation $f(x) = 0$.
Newton's method approximates a nonlinear function $f$ using which specific polynomial?,Its first-order Taylor polynomial approximation.
"Geometrically, Newton's method finds the root of the \_\_\_\_\_ line to the graph of $f$ at $p_0$.",Tangent.
What is the equation of the tangent line to $f$ at the point $p_0$?,$y = f(p_0) + f'(p_0)(x - p_0)$.
What is the recursive formula for the Newton-Raphson method?,$p_{k+1} = p_k - \frac{f(p_k)}{f'(p_k)}$.
What essential condition must $f'(p_k)$ satisfy for a Newton iteration step to be defined?,The derivative $f'(p_k)$ must not be equal to zero.
"Besides 'Newton-Raphson', what is another common name for Newton's method?",The tangent method (or érintőmódszer).
"In the example $f(x) = e^x - 2\cos x$, how would you describe the speed of the sequence's convergence to the root?",The sequence converges very fast.
"If $p_0 = 0.1$ for $f(x) = e^x - 2\cos x$, approximately how many iterations are needed to reach a tolerance of $10^{-5}$?",Five iterations.
Newton's method is considered a \_\_\_\_\_ iteration with a specific iteration function $g(x)$.,Fixed-point.
What is the iteration function $g(x)$ used to represent Newton's method as a fixed-point iteration?,$g(x) = x - \frac{f(x)}{f'(x)}$.
What is the derivative $g'(x)$ of the Newton iteration function $g(x) = x - f(x)/f'(x)$?,$g'(x) = \frac{f(x)f''(x)}{(f'(x))^2}$.
"If $p$ is a root of $f$ such that $f(p) = 0$ and $f'(p) \neq 0$, what is the value of $g'(p)$?",The value of $g'(p)$ is 0.
Why does $g'(p) = 0$ at a simple root suggest fast convergence for Newton's method?,"Because the derivative of the iteration function is zero at the fixed point, implying local convergence."
