"In the context of the gradient method, what is the standard form of the quadratic function $g(\mathbf{x})$ used to solve $\mathbf{A}\mathbf{x} = \mathbf{b}$?",$g(\mathbf{x}) = \frac{1}{2}\mathbf{x}^T \mathbf{A}\mathbf{x} - \mathbf{b}^T \mathbf{x} + c$
What matrix property is required for $g(\mathbf{x})$ to be expressed in terms of the summation $\frac{1}{2} \sum_{i=1}^{n} \sum_{j=1}^{n} a_{ij} x_i x_j$?,The matrix $\mathbf{A}$ must be symmetric ($\mathbf{A}^T = \mathbf{A}$).
"In the summation form of the quadratic function $g(x_1, \ldots, x_n)$, what term represents the linear component involving $\mathbf{b}$?",$- \sum_{i=1}^{n} b_i x_i$
What is the result of the partial derivative $\frac{\partial g}{\partial x_i}$ for the quadratic function $g(\mathbf{x}) = \frac{1}{2}\mathbf{x}^T \mathbf{A}\mathbf{x} - \mathbf{b}^T \mathbf{x} + c$?,$\sum_{j=1}^{n} a_{ij} x_j - b_i$
What is the vectorial form of the gradient vector $g'(\mathbf{x})$ for the quadratic function associated with the system $\mathbf{A}\mathbf{x} = \mathbf{b}$?,$g'(\mathbf{x}) = \mathbf{A}\mathbf{x} - \mathbf{b}$
"If matrix $\mathbf{A}$ is invertible, how many critical points does the quadratic function $g(\mathbf{x})$ have?",Exactly one.
A critical point $\bar{\mathbf{x}}$ of the quadratic function $g(\mathbf{x})$ is a solution to which linear equation?,$\mathbf{A}\mathbf{x} = \mathbf{b}$
What is the relationship between $g(\bar{\mathbf{x}} + \Delta\mathbf{x})$ and $g(\bar{\mathbf{x}})$ when $\bar{\mathbf{x}}$ is a critical point?,$g(\bar{\mathbf{x}} + \Delta\mathbf{x}) - g(\bar{\mathbf{x}}) = \frac{1}{2}(\Delta\mathbf{x})^T \mathbf{A}\Delta\mathbf{x}$
Under what condition on matrix $\mathbf{A}$ does the critical point $\bar{\mathbf{x}}$ minimize the function $g(\mathbf{x})$?,When $\mathbf{A}$ is a positive definite matrix.
Under what condition on matrix $\mathbf{A}$ does the function $g(\mathbf{x})$ have a maximum at the critical point $\bar{\mathbf{x}}$?,When $\mathbf{A}$ is a negative definite matrix.
"According to the theorem on quadratic functions, if $\mathbf{A}$ is symmetric and positive definite, where does the global minimum occur?",At the point $\mathbf{x} = \mathbf{A}^{-1}\mathbf{b}$.
What is the relationship between a local minimum and a global minimum for a quadratic function?,"If a quadratic function has a local minimum at a point, it is also a global minimum at that point."
"In the iterative formula $\mathbf{p}^{(k+1)} = \mathbf{p}^{(k)} - \alpha_k \mathbf{v}^{(k)}$, what does $\mathbf{v}^{(k)}$ represent?","The gradient vector at the current point, $\mathbf{v}^{(k)} = g'(\mathbf{p}^{(k)})$."
How is the step size $\alpha_k$ chosen in the optimal gradient method?,It is the minimum point of the one-variable function $\phi_k(t) = g(\mathbf{p}^{(k)} - t\mathbf{v}^{(k)})$.
What type of function is $\phi_k(t) = g(\mathbf{p}^{(k)} - t\mathbf{v}^{(k)})$ in the gradient method?,A quadratic polynomial.
What is the explicit formula for $\alpha_k$ in terms of the gradient vector $\mathbf{v}^{(k)}$ and the current state?,$\alpha_k = \frac{(\mathbf{v}^{(k)})^T (\mathbf{A}\mathbf{p}^{(k)} - \mathbf{b})}{(\mathbf{v}^{(k)})^T \mathbf{A}\mathbf{v}^{(k)}}$
