What are 'simultaneous linear systems'?,A set of linear systems that share the same coefficient matrix but have different right-hand sides.
What is the general form for representing $m$ simultaneous linear systems individually?,"$\mathbf{A}\mathbf{x} = \mathbf{b}^{(i)}$ for $i = 1, \dots, m$."
How is a set of simultaneous linear systems written concisely as a single matrix equation?,$\mathbf{A}\mathbf{X} = \mathbf{B}$
"In the equation $\mathbf{A}\mathbf{X} = \mathbf{B}$, what does the $i$-th column of the matrix $\mathbf{B}$ represent?",The right-hand side vector $\mathbf{b}^{(i)}$ of the $i$-th system.
"In the equation $\mathbf{A}\mathbf{X} = \mathbf{B}$, what does the $i$-th column of the matrix $\mathbf{X}$ represent?",The solution vector $\mathbf{x}^{(i)}$ of the $i$-th system.
What are the dimensions of the matrix $\mathbf{B}$ if there are $n$ equations and $m$ right-hand side vectors?,$n \times m$
What are the dimensions of the solution matrix $\mathbf{X}$ in a simultaneous linear system with $n$ variables and $m$ systems?,$n \times m$
Why can pivoting for simultaneous systems be performed on a single augmented matrix?,"Pivoting depends only on the coefficient matrix $\mathbf{A}$, which is the same for all systems."
What are the dimensions of the augmented matrix used to solve $m$ simultaneous systems of $n$ equations?,$n \times (n+m)$
"Performing Gauss-Jordan elimination on the augmented matrix $(\mathbf{A}, \mathbf{B})$ results in a matrix of what form?","$(\mathbf{I}, \mathbf{X})$"
"Where does the solution $\mathbf{X}$ appear after Gauss-Jordan elimination on the augmented matrix $(\mathbf{A}, \mathbf{B})$?",In the last $m$ columns.
"What is the operation count for Gaussian elimination on the augmented matrix $(\mathbf{A}, \mathbf{b}^{(1)}, \dots, \mathbf{b}^{(m)})$?",$n^3/3 + mn^2 - n/3$
"In the Gaussian elimination operation count $n^3/3 + mn^2 - n/3$, what do the operations represent?",The number of multiplications and divisions.
"What is the operation count for Gauss-Jordan elimination on the augmented matrix $(\mathbf{A}, \mathbf{b}^{(1)}, \dots, \mathbf{b}^{(m)})$?",$n^3/2 + mn^2 - n/2$
Which term in the operation count formulas scales linearly with the number of systems $m$?,$mn^2$
How does the $n^3$ term in the operation count compare between Gaussian and Gauss-Jordan elimination for simultaneous systems?,Gauss-Jordan has a higher $n^3$ cost ($n^3/2$) than Gaussian elimination ($n^3/3$).
Algorithm 3.37 can be reformulated to solve simultaneous systems with what specific structure?,Tridiagonal linear systems.
The system of equations $\mathbf{A}\mathbf{x}^{(i)} = \mathbf{b}^{(i)}$ is equivalent to the matrix equation \_\_\_\_\_.,$\mathbf{A}\mathbf{X} = \mathbf{B}$
"Concept: Augmented Matrix $(\mathbf{A}, \mathbf{B})$",Definition: A combined matrix where the coefficient matrix $\mathbf{A}$ is followed by the matrix of all right-hand sides $\mathbf{B}$.
"In the augmented matrix $(\mathbf{A}, \mathbf{B})$, what does the sub-matrix $\mathbf{A}$ represent?",The shared coefficient matrix for all systems.
"In the context of simultaneous systems, what matrix results from the $i$-th column product $\mathbf{A} \cdot \text{column}_i(\mathbf{X})$?",The $i$-th column of matrix $\mathbf{B}$ (the vector $\mathbf{b}^{(i)}$).
What matrix does the coefficient matrix $\mathbf{A}$ become after successful Gauss-Jordan elimination on an augmented matrix?,The identity matrix $\mathbf{I}$.
"If $\mathbf{A}$ is $n \times n$, how many rows does the augmented matrix $(\mathbf{A}, \mathbf{B})$ have?",$n$ rows
"If $\mathbf{B}$ is a matrix of $m$ column vectors, what is the width of the augmented matrix $(\mathbf{A}, \mathbf{B})$?",$n + m$ columns
"The solution matrix $\mathbf{X}$ is composed of columns $(\mathbf{x}^{(1)}, \mathbf{x}^{(2)}, \dots, \mathbf{x}^{(m)})$, where each column is a \_\_\_\_\_.",solution vector for the corresponding right-hand side $\mathbf{b}^{(i)}$
"When performing elimination, why is it efficient to solve simultaneous systems together rather than separately?",The elimination steps on the coefficient matrix only need to be performed once.
