"In the context of linear systems, what is an 'augmented matrix'?",A matrix formed by appending the right-hand side vector $b$ as an additional column to the coefficient matrix $A$.
What is the primary goal of the 'elimination' phase in Gaussian elimination?,To transform the augmented matrix into an equivalent upper triangular form.
"What name is given to the diagonal elements $a_{11}, a_{22}^{(1)}, \ldots, a_{nn}^{(n-1)}$ used during the Gaussian elimination process?",Pivot elements
Under what specific numerical condition can basic Gaussian elimination be performed without any row interchanges?,It can be performed if and only if all the pivot elements are non-zero.
"In Gaussian elimination, what is the 'backward substitution' phase used for?",Solving the resulting upper triangular system for the unknown variables starting from $x_n$ to $x_1$.
"In the $k$-th step of Gaussian elimination, what is the formula for the multiplier $l_{ik}$ used to eliminate $a_{ik}$?",$l_{ik} = \frac{a_{ik}^{(k-1)}}{a_{kk}^{(k-1)}}$
What is the leading term of the time complexity for Gaussian elimination of an $n \times n$ system?,$\frac{n^3}{3}$
"According to the total operation count, how many multiplications and divisions are required for Gaussian elimination including backward substitution?",$\frac{n^3}{3} + n^2 - \frac{n}{3}$
"According to the total operation count, how many additions and subtractions are required for Gaussian elimination including backward substitution?",$\frac{n^3}{3} + \frac{n^2}{2} - \frac{5n}{6}$
Why does dividing by a pivot element close to zero cause issues in floating-point arithmetic?,"It can lead to a significant increase in rounding errors, making the numerical solution unreliable."
What is the strategy for 'partial pivoting' (also known as maximal column pivoting)?,"Before step $k$, find the element with the largest magnitude in the $k$-th column at or below the diagonal and swap its row with the $k$-th row."
Which index is selected as the pivot row $l$ in partial pivoting for step $k$?,"The index $l$ such that $|a_{lk}| = \max\{|a_{ik}| : i = k, \ldots, n\}$."
How does 'complete pivoting' differ from 'partial pivoting'?,It searches for the largest magnitude element in the entire remaining sub-matrix rather than just the current column.
What is a major disadvantage of complete pivoting compared to partial pivoting?,"It requires more comparisons to find the pivot element, which slows down the algorithm."
"When performing complete pivoting, what must be tracked in addition to row interchanges?","Column interchanges, which represent changes in the order of the variables $x_1, \ldots, x_n$."
Theorem 3.26 states that a linear system can be solved by Gaussian elimination with partial pivoting if and only if \_\_\_\_\_.,$\det(\mathbf{A}) \neq 0$ (the matrix is invertible).
"In matrix notation, how are row changes in Gaussian elimination represented using a permutation matrix $\mathbf{P}$?",The system is transformed from $\mathbf{A}\mathbf{x} = \mathbf{b}$ to $\mathbf{P}\mathbf{A}\mathbf{x} = \mathbf{P}\mathbf{b}$.
What is the primary motivation for using 'scaled partial pivoting'?,To reduce rounding errors when the magnitudes of coefficients in different rows vary significantly.
"In scaled partial pivoting, how is the scale factor $s_i$ for row $i$ typically defined?",$s_i = \max\{|a_{ij}| : 1 \leq j \leq n\}$
"In 'partial pivoting with implicit scaling', why are the rows not actually multiplied by the scaling factors?",To avoid introducing additional rounding errors through unnecessary division operations.
What is the selection criterion for the pivot row $l$ in scaled partial pivoting?,Select $l$ such that $\frac{|a_{lk}|}{s_l} = \max\limits_{k \leq i \leq n} \frac{|a_{ik}|}{s_i}$.
"A square matrix $\mathbf{A}$ is 'diagonally dominant' if, for every row $i$, $|a_{ii}|$ is greater than \_\_\_\_\_.",The sum of the magnitudes of the other elements in that row: $\sum_{j \neq i} |a_{ij}|$.
What does Theorem 3.32 conclude about Gaussian elimination on a diagonally dominant matrix?,It can be performed without pivoting and is stable with respect to rounding errors.
How does diagonal dominance relate to matrix invertibility?,Any diagonally dominant matrix is guaranteed to be invertible.
