How is an $m$-step iteration defined in numerical analysis?,"$p_{k+1} = h(p_k, p_{k-1}, \ldots, p_{k-m+1})$ for $k \geq m-1$."
How many initial values are required to uniquely define an $m$-step iteration sequence?,"$m$ initial values ($p_0, p_1, \dots, p_{m-1}$)."
What is the specific name for a one-step iteration where $p_{k+1} = g(p_k)$?,Fixed-point iteration.
What equation defines a fixed point $p$ of a function $g$?,$g(p) = p$.
"In a graphical representation of fixed-point iteration, the fixed point is the intersection of $y = g(x)$ and which line?",The line $y = x$.
"According to Theorem 2.11, if the sequence $p_{k+1} = g(p_k)$ converges to $p$, what property must $g$ have to guarantee $p = g(p)$?",The function $g$ must be continuous.
"If $g(x) = 2x$ and $p_0 = 1$, to what value does the fixed-point iteration sequence converge?",Infinity ($\infty$).
Why does the fixed-point iteration for $g(x) = -x$ with $p_0 = 1$ fail to converge?,The sequence oscillates between $1$ and $-1$.
"What does the notation $C[a,b]$ represent in numerical analysis?","The set of all continuous functions defined on the interval $[a,b]$."
"What does the notation $C^1[a,b]$ represent?","The set of all continuously differentiable functions on the interval $[a,b]$."
"According to Lagrange's Mean Value Theorem, if $f \in C^1[a,b]$, there exists a $\xi \in (a,b)$ such that $f(b) - f(a) = \dots$?",$f'(\xi)(b - a)$.
What condition on the interval mapping of a continuous function $g$ ensures the existence of at least one fixed point?,"$g$ must map the interval $[a,b]$ into itself ($g: [a,b] \to [a,b]$)."
"If $g$ is differentiable on $(a,b)$ and $|g'(x)| \leq c < 1$, what can be said about the number of fixed points in $[a,b]$?",The fixed point is unique.
"In the proof of the existence of a fixed point for $g: [a,b] \to [a,b]$, which calculus theorem is applied to $f(x) = g(x) - x$?",The Intermediate Value Theorem.
What is the primary error estimate (formula 1) for the fixed-point iteration relative to the initial error $|p_0 - p|$?,$|p_k - p| \leq c^k |p_0 - p|$.
