"According to Theorem 2.37, what two conditions must a set $E \subset \mathbb{R}^n$ satisfy for a continuous function $f$ to be guaranteed a maximum and minimum?",The set $E$ must be closed and bounded.
"If a function $f$ has all partial derivatives up to order $m$ existing and continuous, what class does it belong to?",The class $C^m$ (m-times continuously partially differentiable).
How is the gradient vector $f'(\mathbf{x})$ of a function $f \in C^1$ defined in terms of its partial derivatives?,"$f'(\mathbf{x}) := (\frac{\partial f(\mathbf{x})}{\partial x_1}, \dots, \frac{\partial f(\mathbf{x})}{\partial x_n})^T$"
"In multivariable calculus notation, the gradient vector $f'$ is typically represented as a \_\_\_\_\_ vector.",Column
What is the name of the $n \times n$ matrix $f''(\mathbf{x})$ containing all second-order partial derivatives of a function $f \in C^2$?,The Hessian matrix (or Hessian).
"In a Hessian matrix $f''(\mathbf{x})$, what is the entry located at row $i$ and column $j$?",$\frac{\partial^2 f}{\partial x_i \partial x_j}(\mathbf{x})$
"To apply the multivariable Taylor's formula for an order $m$ approximation, what continuity class must the function $f$ belong to?",$f \in C^{m+1}$
"According to Taylor's Theorem, where does the intermediate point $\xi$ lie in relation to the points $\mathbf{a}$ and $\mathbf{x}$?",On the line segment connecting $\mathbf{a}$ and $\mathbf{x}$.
"What is the parametric formula for the intermediate point $\xi$ in Taylor's Theorem for some $t \in (0, 1)$?",$\xi = \mathbf{x} + t(\mathbf{a} - \mathbf{x})$
Write the first-order term (the summation part) of the Taylor expansion of $f(\mathbf{x})$ around point $\mathbf{a}$.,$\sum_{i=1}^n \frac{\partial f(\mathbf{a})}{\partial x_i}(x_i - a_i)$
Write the second-order term (including the factorial) of the Taylor expansion of $f(\mathbf{x})$ around point $\mathbf{a}$.,$\frac{1}{2} \sum_{i=1}^n \sum_{j=1}^n \frac{\partial^2 f(\mathbf{a})}{\partial x_i \partial x_j}(x_i - a_i)(x_j - a_j)$
"Using gradient and Hessian notation, what is the second-order Taylor approximation of $f(\mathbf{x})$ around $\mathbf{a}$?",$f(\mathbf{x}) \approx f(\mathbf{a}) + f'(\mathbf{a})^T(\mathbf{x} - \mathbf{a}) + \frac{1}{2}(\mathbf{x} - \mathbf{a})^T f''(\mathbf{a})(\mathbf{x} - \mathbf{a})$
"In the Taylor approximation $f(\mathbf{x}) \approx f(\mathbf{a}) + f'(\mathbf{a})^T(\mathbf{x} - \mathbf{a})$, the term $f'(\mathbf{a})^T(\mathbf{x} - \mathbf{a})$ represents the \_\_\_\_\_ product of the gradient and the displacement vector.",Scalar (or dot)
"What advanced calculus concept identifies $f'$ and $f''$ as the first and second derivatives of $f$, respectively?",The Fréchet derivative.
"For a vector-valued function $g: I \to \mathbb{R}^n$, how is the derivative $g'(t)$ defined?","$g'(t) := (g_1'(t), \dots, g_n'(t))^T$"
"When is a vector-valued function $g(t)$ considered ""continuously differentiable""?",When every one of its component functions is continuously differentiable.
State the formula for the multivariable Chain Rule for the composite function $f(g(t))$.,$\frac{d}{dt} f(g(t)) = f'(g(t))^T g'(t)$
What geometric property must the open set $E$ possess to apply the multivariable Lagrange's Mean Value Theorem?,Convexity
