What is the mathematical definition of an $n$-dimensional simplex?,"The convex hull of $n + 1$ vectors in an $n$-dimensional space, where the differences between any $n$ vertices and the remaining vertex are linearly independent."
"In the context of simplexes, what geometric shape represents a 1-dimensional simplex?",A line segment.
What geometric shape corresponds to a 2-dimensional simplex?,A triangle.
What geometric shape corresponds to a 3-dimensional simplex?,A tetrahedron.
The simplex method is a numerical technique primarily used to approximate the \_\_\_\_\_ of a function of $n$ variables.,minimum point
How are the vertices of a simplex usually indexed at the start of an iteration in the simplex method?,"They are ordered by their function values, such that $f(\mathbf{x}^{(0)}) \leq f(\mathbf{x}^{(1)}) \leq \dots \leq f(\mathbf{x}^{(n)})$."
"In a simplex where $f(\mathbf{x}^{(0)}) \leq f(\mathbf{x}^{(1)}) \leq \dots \leq f(\mathbf{x}^{(n)})$, which vector is designated as the 'worst' vertex?",$\mathbf{x}^{(n)}$
"In the simplex method, what is the formula for calculating the center $\mathbf{x}_c$ of the $n$ best vertices when $\mathbf{x}^{(j)}$ is the worst vertex?","$\mathbf{x}_c := \frac{1}{n} \sum_{i=0, i \neq j}^{n} \mathbf{x}^{(i)}$"
What is the formula used to calculate the reflected point $\mathbf{x}_r$ in the simplex method?,$\mathbf{x}_r = 2\mathbf{x}_c - \mathbf{x}^{(j)}$
Under what condition is a reflection discarded and replaced by a 'shrink' operation in the basic simplex method?,When the function value at the reflected point $f(\mathbf{x}_r)$ is not smaller than the function value of the worst vertex $f(\mathbf{x}^{(j)})$.
What is the formula for recomputing a vertex $\mathbf{x}^{(i)}$ when shrinking a simplex towards the best vertex $\mathbf{x}^{(k)}$?,$\mathbf{x}^{(i)} \leftarrow \mathbf{x}^{(k)} + \frac{1}{2}(\mathbf{x}^{(i)} - \mathbf{x}^{(k)})$
One stopping criterion for the simplex method is based on the simplex size. How is 'size' defined in this context?,"The length of the longest edge, calculated as $\max\{\|\mathbf{x}^{(i)} - \mathbf{x}^{(j)}\| : i, j = 0, \dots, n\}$."
How does the stopping criterion based on function values at the simplex centers operate?,The iteration stops when the absolute difference between the function values at the centers of consecutive simplexes is less than a tolerance $\varepsilon$ ($|f_{k+1} - f_k| < \varepsilon$).
What statistical measure of function values at the vertices can be used as a stopping criterion for the simplex method?,The standard deviation $\sigma$ of the function values at the vertices.
Formula: Standard deviation $\sigma$ of vertex function values,"$\sigma := \sqrt{\frac{1}{n+1} \sum_{i=0}^{n} (f(\mathbf{x}^{(i)}) - \bar{f})^2}$, where $\bar{f}$ is the average function value."
Which point is typically used as the final approximation of the minimum point after the simplex method terminates?,The center of the final simplex.
"The \_\_\_\_\_ method is a popular variant of the simplex method that incorporates reflection, expansion, and contraction.",Nelder–Mead
"In the Nelder–Mead method, how are the vertices indexed in each step?",In non-decreasing order of their function values: $f(\mathbf{x}^{(0)}) \leq f(\mathbf{x}^{(1)}) \leq \dots \leq f(\mathbf{x}^{(n)})$.
"What occurs in Case (i) of the Nelder–Mead method, where $f(\mathbf{x}^{(0)}) < f(\mathbf{x}_r) < f(\mathbf{x}^{(n-1)})$?","The worst vertex $\mathbf{x}^{(n)}$ is replaced by the reflected point $\mathbf{x}_r$, and the iteration continues."
"In Case (ii) of the Nelder–Mead method, if $f(\mathbf{x}_r) \leq f(\mathbf{x}^{(0)})$, what procedure is attempted next?",Expansion of the simplex in the direction of the reflected point $\mathbf{x}_r$.
What is the formula for the expansion point $\mathbf{x}_e$ in the Nelder–Mead method?,"$\mathbf{x}_e := \mathbf{x}_c + \alpha(\mathbf{x}_r - \mathbf{x}_c)$, where $\alpha > 1$."
"In Nelder–Mead Case (ii), when is the expansion point $\mathbf{x}_e$ accepted as the new vertex?","If $f(\mathbf{x}_e) < f(\mathbf{x}^{(0)})$; otherwise, the reflected point $\mathbf{x}_r$ is accepted."
"In Case (iii) of the Nelder–Mead method, which operation is performed when $f(\mathbf{x}_r) \geq f(\mathbf{x}^{(n-1)})$?",Contraction of the simplex.
