"In the context of interpolation, what are the given pairwise different points $x_0, x_1, \ldots, x_n$ called?",Mesh points (or node points).
"The problem of finding a polynomial $L_n$ of degree at most $n$ such that $L_n(x_i) = y_i$ for $i = 0, \ldots, n$ is known as \_\_\_\_\_.",Lagrange interpolation
What is the maximum degree of a Lagrange interpolating polynomial that fits $n+1$ data points?,$n$
How many distinct solutions exist for a Lagrange interpolation problem with $n+1$ points and a polynomial of degree at most $n$?,Exactly one (the solution is unique).
"What is the specific name given to the polynomials $l_0, \ldots, l_n$ used to construct the Lagrange polynomial?",Lagrange basis polynomials of degree $n$.
What is the value of the Lagrange basis polynomial $l_k(x_i)$ when $k \ne i$?,0
What is the value of the Lagrange basis polynomial $l_k(x_i)$ when $k = i$?,1
"Using basis polynomials $l_k(x)$, what is the formula for the Lagrange interpolating polynomial $L_n(x)$?",$L_n(x) = \sum_{k=0}^{n} y_k l_k(x)$
"In the uniqueness proof for Lagrange interpolation, if $P(x)$ is the difference of two $n$-th degree interpolating polynomials, how many roots must $P(x)$ have?",$n + 1$ roots.
Which mathematical theorem is invoked to prove that the difference polynomial $P(x)$ in Lagrange interpolation must be identically zero?,The Fundamental Theorem of Algebra.
What is the term for approximating a function value $f(x)$ using an interpolating polynomial when $x$ is outside the interval determined by the mesh points?,Extrapolation
What is the term for approximating a function value $f(x)$ using an interpolating polynomial when $x$ is located between two mesh points?,Interpolation
Concept: Rolle's Theorem,"Definition: If $f$ is continuous on $[a,b]$, differentiable on $(a,b)$, and $f(a) = f(b)$, there exists $\xi \in (a,b)$ such that $f'(\xi) = 0$."
"According to the Generalized Rolle's Theorem, if $f \in C^n(a,b)$ has $n+1$ roots, what can be said about the $n$-th derivative $f^{(n)}$?",There exists at least one point $\xi$ in the interval spanned by the roots where $f^{(n)}(\xi) = 0$.
"Let $f \in C^{n+1}(a,b)$. What is the error term formula for $f(x) - L_n(x)$?",$\frac{f^{(n+1)}(\xi)}{(n+1)!}(x - x_0)(x - x_1) \cdots (x - x_n)$
"In the Lagrange interpolation error formula, what does the value $\xi$ depend on?",The value of $x$ (and the mesh points $x_i$).
"What does the notation $\langle x, x_0, x_1, \ldots, x_n \rangle$ represent in the context of the error term $\xi$?","The smallest interval containing $x$ and all mesh points $x_0, \ldots, x_n$."
"When the mesh points are equidistant, the formula for $x_i$ is $x_i = x_0 + i \cdot$ \_\_\_\_\_.",$h$ (where $h$ is the step size).
What does $M_{n+1}$ represent in the truncation error bound formula?,"$M_{n+1} = \max\{|f^{(n+1)}(t)| : t \in [x_0, x_n]\}$"
"For equidistant points on $[a,b]$, what is the upper bound for the error $|f(x) - L_n(x)|$ in terms of $M_{n+1}$ and the interval length?",$\frac{M_{n+1}}{4(n+1)} (\frac{b-a}{n})^{n+1}$
"If $x$ is in the interval $(x_k, x_{k+1})$ and the points are equidistant with step $h$, what is the maximum value of $|(x - x_k)(x - x_{k+1})|$?",$\frac{h^2}{4}$
Why do Lagrange polynomials typically fail to approximate $\cos x$ well outside the interval defined by the mesh points?,"The cosine function is bounded, whereas polynomials of degree $n \ge 1$ are unbounded as $|x| \to \infty$."
"In bivariate Lagrange interpolation on a rectangular domain, the interpolating function $L_{n,m}(x, y)$ is a \_\_\_\_\_ summation.",double
"Bivariate Lagrange Formula: $L_{n,m}(x, y) = \sum_{i=0}^{n} \sum_{j=0}^{m} z_{ij} \cdot$ \_\_\_\_\_.",$l_i(x) \tilde{l}_j(y)$
"In bivariate Lagrange interpolation $L_{n,m}(x, y)$, if $y$ is fixed, the function becomes a polynomial in $x$ of degree at most \_\_\_\_\_.",$n$
