"In the context of ordinary differential equations, what does the abbreviation 'IVP' stand for?",Initial Value Problem
What is the standard mathematical form of a first-order scalar initial value problem?,"$y' = f(t, y), \quad y(t_0) = y_0$"
"In a scalar IVP $y' = f(t, y)$, what is the typical domain and codomain of the function $f$?","$f \colon [t_0, T] \times \mathbb{R} \to \mathbb{R}$"
What notation represents the vector-valued version of an initial value problem for a system of $m$ dimensions?,"$\mathbf{y}' = \mathbf{f}(t, \mathbf{y}), \quad \mathbf{y}(t_0) = \mathbf{y}^{(0)}$"
"In the system-based IVP $\mathbf{y}' = \mathbf{f}(t, \mathbf{y})$, what is the codomain of the function $\mathbf{f}$?",$\mathbb{R}^m$
"A function $f(t, y)$ is \_\_\_\_\_ in its second variable if there exists a constant $L$ such that $|f(t, y) - f(t, \tilde{y})| \le L|y - \tilde{y}|$.",Lipschitz continuous
"What is the term for the constant $L$ in the inequality $|f(t, y) - f(t, \tilde{y})| \le L|y - \tilde{y}|$?",Lipschitz constant
"When generalizing the Lipschitz condition to systems of differential equations, what mathematical tool replaces the absolute value symbol?",A vector norm
"According to the theory of ODEs, what property of $f$ is generally sufficient to guarantee the *existence* of a solution to an IVP?",Continuity of $f$
"To guarantee the *uniqueness* of a solution to an IVP, what property must $f$ satisfy in its second variable in addition to continuity?",Lipschitz continuity
"Theorem 10.1: If $f$ is continuous and Lipschitz continuous in its second variable, on what interval is a unique solution guaranteed to exist?","$[t_0, T]$ (or more generally the finite interval of definition)"
How does the requirement for *local* Lipschitz continuity differ from *global* Lipschitz continuity regarding the range of $y$?,"It only requires the Lipschitz condition to hold for $y, \tilde{y}$ within a specific interval $[a, b]$ containing $y_0$."
"If a function $f$ is locally Lipschitz continuous but not globally, what is the potential limitation on the solution's existence interval?","The solution might only exist on a smaller interval $[t_0, \bar{T}]$ where $0 < \bar{T} \le T$."
What condition regarding the derivative of $f$ with respect to its second variable is sufficient to prove that $f$ is locally Lipschitz continuous?,$f$ is continuously differentiable with respect to its second variable.
Concept: $m$th-order IVP transformation,An $m$th-order scalar IVP is equivalent to a system of $m$ first-order differential equations.
