What are the three fundamental properties that define the absolute value of a real number $x$?,"1. $|x| \ge 0$ (and $|x| = 0 \iff x = 0$), 2. $|xy| = |x||y|$, 3. $|x + y| \le |x| + |y|$."
The property $|x + y| \le |x| + |y|$ for real numbers is known as the \_\_\_\_\_.,Triangle inequality
"Geometrically, what does the absolute value $|x - y|$ represent on the real line?",The distance between the two points $x$ and $y$.
"In vector notation, what is represented by the double bar symbol $\|x\|$?",A vector norm.
What is the primary condition for the norm of a vector to be exactly zero?,The vector must be the zero vector (all coordinates are zero).
How is the norm of a scalar product $\|Cx\|$ related to the vector norm $\|x\|$?,"$\|Cx\| = |C| \|x\|$, where $|C|$ is the absolute value of the scalar."
State the triangle inequality for two $n$-dimensional vectors $x$ and $y$.,$\|x + y\| \le \|x\| + \|y\|$.
Which consequence of the triangle inequality establishes that a vector norm is a continuous function?,$|\|x\| - \|y\|| \le \|x - y\|$.
Formula: General $p$-norm of a vector $x$ for $p \ge 1$.,$\|x\|_p = (\sum_{i=1}^n |x_i|^p)^{1/p}$.
"In the definition of the $p$-norm, what is the required range for the real number $p$ to satisfy the triangle inequality?",$p \ge 1$.
What is the common name for the vector norm $\|x\|_2$?,The Euclidean norm.
Formula: The 1-norm of a vector $x$.,$\|x\|_1 = \sum_{i=1}^n |x_i|$.
Term: Infinity norm (or maximum norm) of a vector $x$.,"Definition: The maximum absolute value among the vector's components, denoted $\|x\|_\infty = \max_i |x_i|$."
How is the triangle inequality for the vector infinity norm proven for a sum $x+y$?,By showing $|x_i + y_i| \le |x_i| + |y_i| \le \|x\|_\infty + \|y\|_\infty$ for every component $i$.
State the Cauchy-Bunyakovsky-Schwarz inequality for real numbers $x_i$ and $y_i$.,$(\sum_{i=1}^n x_i y_i)^2 \le (\sum_{i=1}^n x_i^2) (\sum_{i=1}^n y_i^2)$.
Under what condition does the Cauchy-Bunyakovsky-Schwarz inequality hold as an equality?,When one set of numbers is a constant multiple of the other ($y_i = \lambda x_i$ for all $i$).
State the Cauchy-Bunyakovsky-Schwarz inequality using vector notation for the scalar product and 2-norm.,$|x^T y| \le \|x\|_2 \|y\|_2$.
Which specific inequality is used to prove the triangle inequality for the Euclidean (2-norm)?,The Cauchy-Bunyakovsky-Schwarz inequality.
"Geometrically, what does the 2-norm of a two-dimensional vector represent?","The distance from the point $(x_1, x_2)$ to the origin."
How is the distance between two $n$-dimensional vectors $x$ and $y$ defined using norms?,As the norm of their difference: $\|x - y\|$.
Definition: Convergence of a vector sequence $P_k$ to a limit $P$.,The sequence converges if $\lim_{k \to \infty} \|P_k - P\| = 0$ for a chosen vector norm.
"In $R^n$, how does the choice of vector norm affect the limit of a convergent sequence?",It does not; the limit is independent of the selection of the vector norm.
A vector sequence $P_k$ converges to $P$ if and only if each \_\_\_\_\_ of $P_k$ converges to the corresponding component of $P$.,Coordinate (or component)
Why is the norm of the difference $\|P_k - P\|$ useful in numerical analysis?,It provides a way to check if a generated sequence is 'close enough' to the limit to stop the computation.
How is a matrix norm generated (induced) by a specific vector norm?,$\|A\| = \sup_{x \ne 0} \frac{\|Ax\|}{\|x\|}$.
"In the definition of an induced matrix norm, why can the supremum be replaced by a maximum for matrices?",Because the maximum is always attained for some non-zero vector $x$ in finite-dimensional spaces.
What is the equivalent unit-vector definition for an induced matrix norm?,$\|A\| = \sup_{\|y\|=1} \|Ay\|$.
State the matrix norm property regarding the product of a matrix $A$ and a vector $x$.,$\|Ax\| \le \|A\| \|x\|$.
State the sub-multiplicative property for the norms of two square matrices $A$ and $B$.,$\|AB\| \le \|A\| \|B\|$.
What is the specific formula for computing the 1-norm of a matrix $A$?,$\|A\|_1 = \max_j \sum_{i=1}^n |a_{ij}|$ (the maximum absolute column sum).
What is the specific formula for computing the infinity norm of a matrix $A$?,$\|A\|_\infty = \max_i \sum_{j=1}^n |a_{ij}|$ (the maximum absolute row sum).
Why is the matrix 2-norm considered more difficult to compute than the 1-norm or infinity norm?,It requires computing the eigenvalues of the matrix.
"True or False: If a matrix sequence $A_k$ converges to $A$ in the 1-norm, it must also converge to $A$ in the infinity norm.",True (convergence is independent of the norm selection).
How is the limit of a linear combination of vector sequences $C P_k + D Q_k$ determined?,It converges to the linear combination of their individual limits: $CP + DQ$.
State the Cauchy criterion for the convergence of a vector sequence $P_k$.,"For every $\epsilon > 0$, there exists $k_0$ such that $\|P_k - P_m\| < \epsilon$ for all $k, m > k_0$."
"According to the vector-valued Mean Value Theorem, how is the difference $\|f(x) - f(y)\|$ estimated using the Jacobian matrix $J$?","$\|f(x) - f(y)\| \le (\max_{T \in [0,1]} \|J(x + T(y-x))\|) \|x - y\|$."
"In the vector-valued Mean Value Theorem, what type of norm is applied to the Jacobian matrix?",A matrix norm (generated by the vector norm used for $x$ and $y$).
What does the 'vertical' summation memory aid refer to in matrix norms?,The 1-norm (maximum absolute column sum).
What does the 'horizontal' summation memory aid refer to in matrix norms?,The infinity norm (maximum absolute row sum).
Concept: $P$-norm for $p=2$.,$\|x\|_2 = \sqrt{|x_1|^2 + |x_2|^2 + \dots + |x_n|^2}$.
"If the sequence of coordinates $P_{k,i}$ converges for every $i$, what can be concluded about the vector sequence $P_k$?",The vector sequence $P_k$ converges to a limit vector $P$ formed by those coordinate limits.
"If $\|A\|$ is an induced matrix norm, what is the value of $\|I\|$, where $I$ is the identity matrix?",1 (since $\sup \frac{\|Ix\|}{\|x\|} = \sup 1$).
