What is the primary purpose of the Jacobi iteration method?,To solve linear systems of equations of the form $Ax = b$ iteratively.
What condition must be met by all diagonal elements $a_{ii}$ for the Jacobi iteration to be defined?,"$a_{ii} \ne 0$ for all $i = 1, \dots, n$."
"If a diagonal element $a_{ii}$ is zero, what strategy can be used to apply Jacobi iteration?",Interchange the rows of the matrix to achieve non-zero diagonal elements.
"In the scalar form of Jacobi iteration, what is the formula for $x_i^{(k+1)}$?",$x_i^{(k+1)} = -\sum_{j \ne i} \frac{a_{ij}}{a_{ii}} x_j^{(k)} + \frac{b_i}{a_{ii}}$.
The Jacobi iteration is a specific type of multi-dimensional \_\_\_\_\_ equation.,linear fixed-point
"In the matrix splitting $A = L + D + U$ for Jacobi iteration, what does the matrix $D$ represent?",The diagonal matrix containing the diagonal elements of $A$.
"In the matrix splitting $A = L + D + U$, how is the matrix $L$ defined?",A strictly lower triangular matrix containing the elements of $A$ below the main diagonal.
"In the matrix splitting $A = L + D + U$, how is the matrix $U$ defined?",A strictly upper triangular matrix containing the elements of $A$ above the main diagonal.
What is the vector form equation for the Jacobi iteration step?,$x^{(k+1)} = Tx^{(k)} + c$
"How is the Jacobi iteration matrix $T_J$ calculated using the $L, D, U$ splitting?",$T_J = -D^{-1}(L + U)$
How is the constant vector $c$ calculated in the matrix form of Jacobi iteration?,$c = D^{-1}b$
Which matrix contains the reciprocals of the diagonal elements of $A$?,$D^{-1}$
What is the necessary and sufficient condition for the Jacobi iteration to converge for all initial values?,The spectral radius $\rho(T_J) < 1$.
Term: Spectral Radius $\rho(T)$,Definition: The maximum absolute value of the eigenvalues of matrix $T$.
"According to Corollary 4.10, the Jacobi iteration converges if any matrix norm $\|T_J\|$ is \_\_\_\_\_.",less than 1
What property of matrix $A$ is a common sufficient condition for the convergence of Jacobi iteration?,Strict diagonal dominance.
What is the mathematical definition of a row diagonally dominant matrix $A$?,$|a_{ii}| > \sum_{j \ne i} |a_{ij}|$ for all $i$.
How are the diagonal entries of the Jacobi iteration matrix $T_J$ always valued?,They are all zero.
Why does diagonal dominance of $A$ guarantee convergence in the infinity norm?,It ensures that $\|T_J\|_\infty < 1$.
How is the infinity norm $\|T_J\|_\infty$ calculated in the context of the Jacobi method?,As the maximum absolute row sum: $\max_i \sum_{j \ne i} \frac{|a_{ij}|}{|a_{ii}|}$.
"If the Jacobi iteration converges, what does the sequence limit represent?",The exact solution to the linear system $Ax = b$.
"In the scalar formula for $x_i^{(k+1)}$, what values from the sequence are used on the right-hand side?",Only values from the previous iteration $k$.
"If the spectral radius $\rho(T_J) \ge 1$, can Jacobi iteration be guaranteed to converge for any $x^{(0)}$?","No, the method may diverge for some initial values."
"What is the relationship between the matrix $A$ and the split components $L$, $D$, and $U$?",$A = L + D + U$
Under what condition is the convergence of the Jacobi iteration considered 'global'?,When it converges for any arbitrary initial value $x^{(0)}$.
The elements of the iteration matrix $T_J$ are given by $t_{ij} = \dots$ for $i \ne j$.,$t_{ij} = -a_{ij}/a_{ii}$
"According to the exercises, Jacobi iteration is also convergent if $A$ is \_\_\_\_\_ diagonally dominant.",column
Formula: $\|T\|_\infty$,Definition: $\max_{1 \le i \le n} \sum_{j=1}^n |t_{ij}|$.
"In the example $5x_1 + 3x_2 - x_3 = -4$, what is the expression for $x_1^{(k+1)}$?",$x_1^{(k+1)} = (-4 - 3x_2^{(k)} + x_3^{(k)})/5$.
"If $\|T_J\|_\infty = 4/5$, what can be concluded about the convergence of the Jacobi iteration?",It is convergent because the norm is less than 1.
What is the result of multiplying the equation $Dx = -(L+U)x + b$ by $D^{-1}$?,$x = -D^{-1}(L+U)x + D^{-1}b$
"In a $3 \times 3$ system, how many equations are solved for their respective diagonal variables to form the Jacobi iteration?",Three.
"Is the condition $\rho(T_J) < 1$ necessary, sufficient, or both for Jacobi convergence?",Both (necessary and sufficient).
